Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,GP,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:17:54.664000,NOR,4,-1.648198650112067,2.0,1.0,,,-0.25586094870603504,-1.9511838812438158,0.6701210956550457,0 days 00:17:02.085000,0 days 00:17:20.105000,0 days 00:17:54.664000,278.0,318.0,304.0,311.0,True,MEDIUM,2.0,True,McLaren,0 days 00:16:32.768000,2025-03-14 01:32:00.777,1,,False,,False,True,FP1,Australian Grand_Prix,0.10517268122673644,0.0446577311644105,1018.2,False,0.8022299786861944,0,1.0
0 days 00:18:05.643000,HAD,6,-0.8497482435264115,2.0,1.0,,,-0.36310607482955654,-1.8926376462185486,1.2963336869487243,0 days 00:17:07.635000,0 days 00:17:26.103000,0 days 00:18:05.643000,272.0,306.0,298.0,315.0,True,MEDIUM,2.0,True,Racing Bulls,0 days 00:16:38.679000,2025-03-14 01:32:06.688,1,,False,,False,True,FP1,Australian Grand_Prix,0.10517268122673644,0.0446577311644105,1018.2,False,0.8022299786861944,0,1.0
0 days 00:18:06.706000,GAS,10,-1.7777026426561495,2.0,1.0,,,-0.4956028234475351,-1.9364166389271749,0.6540289029857843,0 days 00:17:14.142000,0 days 00:17:32.275000,0 days 00:18:06.706000,277.0,316.0,303.0,317.0,True,MEDIUM,2.0,True,Alpine,0 days 00:16:45.632000,2025-03-14 01:32:13.641,1,,False,,False,True,FP1,Australian Grand_Prix,0.10517268122673644,0.0446577311644105,1018.2,False,0.8022299786861944,0,1.0
0 days 00:18:16.835000,BOR,5,-1.1298675850633668,2.0,1.0,,,-0.09306225309470684,-1.8482052357083012,0.9157784743717386,0 days 00:17:21.514000,0 days 00:17:40.322000,0 days 00:18:16.835000,265.0,313.0,292.0,305.0,True,MEDIUM,2.0,True,Kick Sauber,0 days 00:16:51.649000,2025-03-14 01:32:19.658,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:18:20.512000,DOO,7,-1.662220371932533,2.0,1.0,,,-0.5336287961450717,-1.933149549919068,0.7591310363568983,0 days 00:17:27.087000,0 days 00:17:45.245000,0 days 00:18:20.512000,275.0,323.0,302.0,315.0,True,MEDIUM,2.0,True,Alpine,0 days 00:16:58.705000,2025-03-14 01:32:26.714,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:18:30.953000,STR,18,-1.4326737574109671,2.0,1.0,,,-0.39014016479421176,-1.8842738983577962,0.8345631894940602,0 days 00:17:36.554000,0 days 00:17:55.086000,0 days 00:18:30.953000,279.0,302.0,253.0,298.0,True,MEDIUM,2.0,True,Aston Martin,0 days 00:17:07.689000,2025-03-14 01:32:35.698,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:18:34.773000,VER,1,-1.9829869520052235,2.0,1.0,,,-0.6616693760875587,-1.980849049437422,0.6032379198734286,0 days 00:17:42.953000,0 days 00:18:00.746000,0 days 00:18:34.773000,282.0,321.0,304.0,320.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:15.002000,2025-03-14 01:32:43.011,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:18:42.827000,TSU,22,-1.7085393181709267,2.0,1.0,,,-0.5086742515623135,-1.92491648561864,0.7036884038010834,0 days 00:17:49.780000,0 days 00:18:08.001000,0 days 00:18:42.827000,278.0,321.0,301.0,312.0,True,MEDIUM,2.0,True,Racing Bulls,0 days 00:17:21.314000,2025-03-14 01:32:49.323,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:18:46.794000,HAM,44,-1.8593122145999874,2.0,1.0,,,-0.6266141825070175,-1.9400757786162537,0.6478686104795828,0 days 00:17:54.307000,0 days 00:18:12.412000,0 days 00:18:46.794000,280.0,316.0,302.0,319.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:17:26.238000,2025-03-14 01:32:54.247,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:18:52.383000,LEC,16,-1.945018019884635,2.0,1.0,,,-0.6803852845246271,-1.9556271222948403,0.6171928682038034,0 days 00:18:00.259000,0 days 00:18:18.245000,0 days 00:18:52.383000,282.0,316.0,303.0,319.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:17:32.371000,2025-03-14 01:33:00.380,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
